"register_id";"name";"institution_id";"institution_name";"created";"modified";"addresses_roadtype_id";"addresses_roadtype_name";"addresses_road_id";"addresses_road_name";"addresses_start_street_number";"addresses_end_street_number";"addresses_neighborhood_id";"addresses_neighborhood_name";"addresses_district_id";"addresses_district_name";"addresses_zip_code";"addresses_town";"addresses_main_address";"addresses_type";"values_id";"values_attribute_id";"values_category";"values_attribute_name";"values_value";"values_outstanding";"values_description";"secondary_filters_id";"secondary_filters_name";"secondary_filters_fullpath";"secondary_filters_tree";"secondary_filters_asia_id";"geo_epgs_25831_x";"geo_epgs_25831_y";"geo_epgs_4326_x";"geo_epgs_4326_y"
92086022151;"Restaurant La Ceba";NA;NA;1987-07-30 00:00:00;2021-03-03 22:14:10;NA;NA;253505;"C Perla";10;NA;31;"la Vila de Gràcia";6;"Gràcia";8012;"BARCELONA";TRUE;NA;166422;20001;"Telèfons";"Tel.";"932170601";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;4295356525073552;4583870223245867;4140328755362053;21569960202389408
75990101950;"Bar Restaurant Nou Celler";NA;NA;1996-09-18 00:00:00;2021-07-23 13:02:33;NA;NA;266904;"Carrer de la Princesa";16;NA;4;"Sant Pere, Santa Caterina i la Ribera";1;"Ciutat Vella";8003;"Barcelona";TRUE;NA;142260;20001;"Telèfons";"Tel.";"933 10 47 73";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;4314583012435526;4581832542520111;4138510099783844;2180226067205328
75990013465;"Restaurant Tritón";NA;NA;1996-09-17 00:00:00;2021-07-22 13:10:59;NA;NA;8308;"Carrer de l'Alfambra";16;NA;21;"Pedralbes";4;"Les Corts";8034;"Barcelona";TRUE;NA;134945;20001;"Telèfons";"Tel.";"932033085";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;4258079411198615;4582066710042276;4138670878497252;2112625309986674
75990073383;"Restaurant Octubre";NA;NA;1996-09-18 00:00:00;2021-03-03 22:15:54;NA;NA;174500;"C Julián Romea";18;NA;26;"Sant Gervasi - Galvany";5;"Sarrià-Sant Gervasi";8006;"BARCELONA";TRUE;NA;139252;20001;"Telèfons";"Tel.";"932182518";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;4292366315447336;4583240758322968;4139759193504014;21534926169294292
75990043127;"Restaurant Guanabara by Rodizio";NA;NA;1996-09-18 00:00:00;2021-03-03 22:15:52;NA;NA;89004;"C Consell de Cent";403;NA;7;"la Dreta de l'Eixample";2;"Eixample";8009;"BARCELONA";TRUE;NA;137870;20001;"Telèfons";"Tel.";"932655112";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;4307149272335828;4582981057162456;41395381624887584;2171204662562852
75990029585;"Restaurant Cafeteria Piper's";NA;NA;1996-09-17 00:00:00;2021-03-03 22:14:13;NA;NA;51205;"C Buenos Aires";42;NA;8;"l'Antiga Esquerra de l'Eixample";2;"Eixample";8036;"BARCELONA";TRUE;NA;136771;20001;"Telèfons";"Tel.";"934305154";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;42868716700862352;4582652046950646;413922410949059;21469896666260448
75990058811;"Restaurant Braseria Cal Ramon";NA;NA;1996-09-18 00:00:00;2021-03-03 22:14:21;NA;NA;142300;"Av Gaudí";74;NA;6;"la Sagrada Família";2;"Eixample";8025;"BARCELONA";TRUE;NA;138331;20001;"Telèfons";"Tel.";"934364127";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;4310084920334489;4584675394697902;4141066720278482;21745228531698312
75990118565;"Restaurant L'Oliana";NA;NA;1996-09-18 00:00:00;2021-03-03 22:15:52;NA;NA;318804;"C Santaló";54;NA;26;"Sant Gervasi - Galvany";5;"Sarrià-Sant Gervasi";8021;"BARCELONA";TRUE;NA;144171;20001;"Telèfons";"Tel.";"932010647";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;42851239660505056;4583132721224502;4139655482748342;21448426269251884
75990118598;"Restaurant Abou Khalil";NA;NA;1996-09-18 00:00:00;2021-03-03 22:15:52;NA;NA;318804;"C Santaló";88;NA;26;"Sant Gervasi - Galvany";5;"Sarrià-Sant Gervasi";8021;"BARCELONA";TRUE;NA;144177;20001;"Telèfons";"Tel.";"932018830";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;4283862388021623;4583268044877779;4139776240930872;21433176440874056
99400495582;"Restaurant Món Viet";NA;NA;2017-04-12 09:30:13;2021-03-03 22:15:26;NA;NA;323203;"C Sepúlveda";94;NA;10;"Sant Antoni";2;"Eixample";8015;"BARCELONA";TRUE;NA;230076;20001;"Telèfons";"Tel.";"931936079";TRUE;NA;60731068;"Restaurants";"Planol BCN >> Restaurants >> Restaurants >> Restaurants";651;6,5103007e+13;42953687905589808;458119383135875;413791823401207;2157322055068831
